id,name,id.1,sj_0,sj_1,in_offset,out_offset,dx,n,shape,g1,g2,g3,g4,Q_0,h_0,ctrl,A_s,A_c,C,C_uk,C_dk
0,R_WLR01,0,30,0,0.0,0.0,238.6584,0.04,Trapezoidal,3.048,4.572,1.8747656542932132,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
1,R_WLR02,1,0,1,0.0,0.0,564.1848,0.06,Trapezoidal,3.048,4.572,1.8747656542932132,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
2,R_WLR04,2,2,3,0.0,0.0,580.0344,0.06,Trapezoidal,3.048,4.572,1.8747656542932132,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
3,R_WLR03,3,1,3,0.0,0.0,832.9178681208001,0.05,Trapezoidal,3.048,4.572,1.8747656542932132,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
4,R_WLR05,4,3,4,0.0,0.0,631.305780312,0.05,Trapezoidal,3.048,4.572,1.8747656542932132,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
5,R_WLR06,5,4,5,0.0,0.0,446.9662665432,0.05,Trapezoidal,2.4384,4.572,2.099737532808399,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
6,R_WLR07,6,5,6,0.0,0.0,526.0727658864,0.05,Trapezoidal,2.4384,5.486400000000001,2.386065378191362,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
7,R_HEM04,7,24,25,0.0,0.0,528.828,0.015,Trapezoidal,2.4384,5.486400000000001,4.37445319335083,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
8,R_HEM02,8,28,23,0.0,0.0,430.6824,0.015,Trapezoidal,2.4384,5.486400000000001,4.37445319335083,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
9,R_HEM03,9,23,25,0.0,0.0,727.2528000000001,0.015,Trapezoidal,2.4384,5.486400000000001,4.37445319335083,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
10,R_HEM05,10,25,26,0.0,0.0,601.98,0.015,Trapezoidal,2.4384,5.486400000000001,4.37445319335083,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
11,R_HEM06,11,26,27,0.0,0.0,605.0070425616001,0.05,Trapezoidal,2.4384,5.486400000000001,4.37445319335083,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
12,R_HEM07,12,27,14,0.0,0.0,838.0137796968,0.05,Trapezoidal,3.048,6.096,3.280839895013123,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
13,R_WLR08,13,6,7,0.0,0.0,314.4575886096,0.05,Trapezoidal,2.4384,4.572,2.099737532808399,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
14,R_WLR09,14,7,8,0.0,0.0,524.3090836632,0.05,Trapezoidal,2.1336,3.9624,3.827646544181978,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
15,R_WLR10,15,8,9,0.0,0.0,813.9719783520001,0.05,Trapezoidal,2.4384,6.096,2.6246719160104988,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
16,R_WLR11,16,9,10,0.0,0.0,694.622734704,0.05,Trapezoidal,2.7432000000000003,12.192,5.905511811023622,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
17,R_WLR12,17,10,11,0.0,0.0,496.49803682160007,0.05,Trapezoidal,3.048,9.144,1.4581510644502769,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
18,R_WLR13,18,11,12,0.0,0.0,382.9327191216,0.05,Trapezoidal,3.048,6.7056,3.6453776611256927,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
19,R_WLR14,19,12,13,0.0,0.0,300.88710256800005,0.05,Trapezoidal,3.6576,9.144,2.6246719160104988,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
20,R_WLR15,20,13,14,0.0,0.0,765.6414465144001,0.05,Trapezoidal,3.6576,6.1,8.8,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
21,R_WLR16,21,14,15,0.0,0.0,306.8096131512,0.05,Trapezoidal,3.6576,6.1,4.177146367746631,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
22,R_WLR17,22,15,16,0.0,0.0,891.37170468,0.05,Trapezoidal,4.572,0.9,8.677146367746632,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
23,R_WLR18,23,16,17,0.0,0.0,486.2459583672001,0.05,Trapezoidal,4.572,0.3,8.3714367746631,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
24,R_WLR19,24,17,18,0.0,0.0,357.0951172536,0.05,Trapezoidal,4.572,12.192,2.460629921259843,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
25,R_WLR20,25,18,19,0.0,0.0,287.8409886552,0.05,Trapezoidal,4.572,12.8016,1.696986152592995,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
26,R_WLR21,26,19,20,0.0,0.0,280.23390699360004,0.05,Trapezoidal,4.572,12.8016,1.696986152592995,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
27,R_WLR22,27,20,21,0.0,0.0,470.6348210856,0.05,Trapezoidal,6.096,12.192,3.280839895013123,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
28,R_WLR23,28,21,22,0.0,0.0,396.63332946480006,0.05,Trapezoidal,7.010400000000001,13.716,4.31196100487439,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
29,R_WLR24,29,22,29,0.0,0.0,352.78473501840006,0.05,Trapezoidal,7.010400000000001,19.812,3.353747448235637,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
30,R_HEM01,30,31,28,0.0,0.0,436.4736,0.015,Trapezoidal,2.4384,5.486400000000001,4.37445319335083,0.0,0.0,1e-05,False,1.0,0.0,0.0,0.0,0.0
