,name,id,z_inv,h_0,bc,storage,a,b,c,max_depth
0,J_WLR01_RR_S_OF_MORROW,0,220.13360088000002,1e-05,False,functional,0.0,0.0,100.0,inf
1,J_WLR02_LAMAR,1,215.56370400000003,1e-05,False,functional,0.0,0.0,100.0,inf
2,J_WLR03_TRIB_AT_SWANEE,2,211.50663312,1e-05,False,functional,0.0,0.0,100.0,inf
3,J_WLR05_COMB_AT_HUNTLAND,3,205.822296,1e-05,False,functional,0.0,0.0,100.0,inf
4,J_WLR06_US_POND_REILLY,4,200.366376,1e-05,False,functional,0.0,0.0,100.0,inf
5,J_WLR07_KOENIG,5,196.39788000000001,1e-05,False,functional,0.0,0.0,100.0,inf
6,J_WLR08_NORTH_LOOP,6,192.61836000000002,1e-05,False,functional,0.0,0.0,100.0,inf
7,J_WLR09_51ST,7,190.853568,1e-05,False,functional,0.0,0.0,100.0,inf
8,J_WLR10_INTRAMURAL_FIELDS,8,186.82716000000002,1e-05,False,functional,0.0,0.0,100.0,inf
9,J_WLR12_COMB_AT_DUVAL,9,180.024024,1e-05,False,functional,0.0,0.0,100.0,inf
10,J_WLR13_41ST,10,174.13224,1e-05,False,functional,0.0,0.0,100.0,inf
11,J_WLR14_38TH,11,168.837864,1e-05,False,functional,0.0,0.0,100.0,inf
12,J_WLR15_HARRIS,12,165.500304,1e-05,False,functional,0.0,0.0,100.0,inf
13,J_WLR16_32ND,13,162.811968,1e-05,False,functional,0.0,0.0,100.0,inf
14,J_WLR18_COMB_HEMP,14,156.8196,1e-05,False,functional,0.0,0.0,100.0,inf
15,J_WLR19_23RD,15,154.606752,1e-05,False,functional,0.0,0.0,100.0,inf
16,J_WLR20_TRINITY,16,147.11476800000003,1e-05,False,functional,0.0,0.0,100.0,inf
17,J_WLR21_15TH,17,144.1704,1e-05,False,functional,0.0,0.0,100.0,inf
18,J_WLR23_12TH,18,142.3416,1e-05,False,functional,0.0,0.0,100.0,inf
19,J_WLR24_10TH,19,139.76299200000003,1e-05,False,functional,0.0,0.0,100.0,inf
20,J_WLR25_9TH_COMB_SEWER,20,138.802872,1e-05,False,functional,0.0,0.0,100.0,inf
21,J_WLR27_4TH,21,133.572504,1e-05,False,functional,0.0,0.0,100.0,inf
22,J_WLR28_CESAR_CHAVEZ,22,131.14934399999999,1e-05,False,functional,0.0,0.0,100.0,inf
23,J_HEM01_43RD,23,187.50028032000003,1e-05,False,functional,0.0,0.0,100.0,inf
24,J_HEM03_LAMAR_NEAR_42ND,24,187.06292280000002,1e-05,False,functional,0.0,0.0,100.0,inf
25,J_HEM04_COMB_AT_38TH,25,180.664104,1e-05,False,functional,0.0,0.0,100.0,inf
26,J_HEM05_32ND,26,172.71796799999998,1e-05,False,functional,0.0,0.0,100.0,inf
27,J_HEM06_NEAR_30TH_AND_UNIVER,27,165.28999199999998,1e-05,False,functional,0.0,0.0,100.0,inf
28,POND_TRIANGLE,28,189.73982880000003,1e-05,False,functional,0.0,0.0,100.0,inf
29,OUT_COLORADO_RIVER,29,130.0,1e-05,True,functional,0.0,0.0,100.0,inf
30,UPSTREAM_WALLER,30,221.97127056000002,1e-05,False,functional,0.0,0.0,100.0,inf
31,UPSTREAM_HEMPHILL,31,194.75927520000002,1e-05,False,functional,0.0,0.0,100.0,inf
